Player,Standing,Year,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
David Ferrer,8,2008,158.6,33.4,53.6,28.9,42.7
Juan Monaco,9,2008,156.8,31.2,54.3,30.0,41.3
Stan Wawrinka,10,2008,155.2,31.2,51.8,27.4,44.8
Roger Federer,11,2008,153.0,32.2,52.6,27.0,41.2
Filippo Volandri,12,2008,152.5,31.0,52.6,25.7,43.2
Andreas Seppi,13,2008,150.3,30.8,50.4,25.8,43.3
Mikhail Youzhny,14,2008,150.3,30.9,50.8,25.1,43.5
Tomas Berdych,15,2008,149.9,28.4,53.7,24.2,43.6
James Blake,16,2008,149.3,32.0,48.9,25.7,42.7
Ivo Minar,17,2008,149.2,29.4,49.2,22.5,48.1
Fabio Fognini,18,2008,148.4,32.6,46.9,25.6,43.3
Robby Ginepri,19,2008,147.8,29.6,52.6,25.5,40.1
Robin Soderling,20,2008,147.6,29.5,50.1,24.6,43.4
Tommy Robredo,21,2008,147.5,31.8,50.8,25.1,39.8
Philipp Kohlschreiber,22,2008,147.2,31.0,50.0,24.6,41.6
Nicolas Almagro,23,2008,146.8,31.5,51.3,25.0,39.0
Gael Monfils,24,2008,145.8,32.6,47.6,25.3,40.3
Guillermo Canas,25,2008,145.7,31.4,48.0,24.5,41.8
Gilles Simon,26,2008,145.6,29.7,52.7,25.0,38.2
Jarkko Nieminen,27,2008,145.3,28.5,51.8,24.2,40.8
Jose Acasuso,28,2008,145.1,30.3,52.1,25.5,37.2
Guillermo Garcia-Lopez,29,2008,143.9,30.1,50.3,24.0,39.5
Juan Carlos Ferrero,30,2008,143.8,29.3,51.0,23.2,40.3
Oscar Hernandez,31,2008,143.8,29.7,51.5,24.2,38.4
Agustin Calleri,32,2008,143.5,31.2,48.8,22.6,40.9
Richard Gasquet,33,2008,143.5,30.2,48.9,24.1,40.3
Radek Stepanek,34,2008,143.2,29.0,49.2,21.9,43.1
Fabrice Santoro,35,2008,142.7,28.5,50.1,22.3,41.8
Nicolas Kiefer,36,2008,142.6,31.3,47.4,22.3,41.6
Fernando Gonzalez,37,2008,141.4,30.5,47.6,21.5,41.8
Jo-Wilfried Tsonga,38,2008,141.3,29.7,48.0,20.8,42.8
Marat Safin,39,2008,140.9,29.4,47.9,20.5,43.1
Viktor Troicki,40,2008,140.9,30.1,49.3,23.2,38.3
Julien Benneteau,41,2008,140.7,29.8,50.6,22.8,37.5
Tommy Haas,42,2008,140.6,29.3,49.3,22.5,39.5
Dudi Sela,43,2008,140.6,30.5,49.3,22.4,38.4
Marin Cilic,44,2008,139.8,31.0,48.6,22.1,38.1
Marc Gicquel,45,2008,139.7,28.7,46.8,21.0,43.2
Eduardo Schwank,46,2008,139.6,27.4,49.6,20.5,42.1
Rainer Schuettler,47,2008,139.5,28.9,48.9,21.4,40.3
Marcel Granollers,48,2008,139.2,29.6,46.2,22.3,41.1
Mardy Fish,49,2008,138.8,30.2,47.5,22.5,38.6
Mario Ancic,50,2008,138.2,29.2,49.7,20.3,39.0
David Ferrer,1,2007,176.3,34.6,57.1,36.1,48.5
Rafael Nadal,2,2007,166.2,34.5,54.5,33.0,44.2
Juan Monaco,3,2007,164.8,32.3,54.2,30.6,47.7
Filippo Volandri,4,2007,164.8,33.4,51.7,31.2,48.5
Nikolay Davydenko,5,2007,163.2,34.6,53.7,31.1,43.8
Gilles Simon,6,2007,161.2,32.2,53.1,28.8,47.1
Tommy Robredo,7,2007,160.8,32.4,52.9,29.1,46.4
Andy Murray,8,2007,160.1,34.0,54.5,31.8,39.8
Lleyton Hewitt,9,2007,158.1,30.2,52.7,27.2,48.0
Guillermo Canas,10,2007,158.0,33.0,51.4,28.2,45.4
Richard Gasquet,11,2007,157.0,33.0,50.3,28.4,45.3
Novak Djokovic,12,2007,156.0,32.0,53.0,28.2,42.8
Roger Federer,13,2007,155.5,33.9,52.4,28.6,40.6
Juan Martin del Potro,14,2007,152.7,30.4,50.7,25.6,46.0
Marcos Baghdatis,15,2007,152.5,31.5,50.7,26.1,44.2
Jarkko Nieminen,16,2007,151.9,31.3,53.7,27.1,39.8
Paul-Henri Mathieu,17,2007,151.8,31.0,53.0,26.5,41.3
Mikhail Youzhny,18,2007,151.8,31.4,51.3,27.3,41.8
David Nalbandian,19,2007,151.6,28.9,55.0,26.3,41.4
Robin Soderling,20,2007,151.6,32.1,50.3,25.5,43.7
Juan Ignacio Chela,21,2007,151.2,33.0,51.5,27.1,39.6
James Blake,22,2007,150.1,28.9,53.6,25.0,42.6
Andreas Seppi,23,2007,149.8,29.1,51.1,24.1,45.5
Jonas Bjorkman,24,2007,148.6,31.4,51.5,25.5,40.2
Martin Vassallo Arguello,25,2007,147.7,31.3,51.2,25.0,40.2
Juan Carlos Ferrero,26,2007,147.6,30.6,51.2,25.5,40.3
Tommy Haas,27,2007,147.6,29.4,51.1,25.0,42.1
Tomas Berdych,28,2007,147.1,27.8,52.3,24.0,43.0
Florian Mayer,29,2007,147.0,29.4,51.0,25.3,41.3
Sebastien Grosjean,30,2007,146.9,29.9,50.6,24.2,42.2
Fernando Verdasco,31,2007,145.6,31.2,49.6,24.2,40.6
Sergio Roitman,32,2007,145.2,29.3,50.3,23.3,42.3
Fabrice Santoro,33,2007,145.2,29.9,49.0,22.7,43.6
Nicolas Almagro,34,2007,145.0,30.6,49.7,24.5,40.2
Robby Ginepri,35,2007,144.9,29.7,50.6,22.8,41.8
Jose Acasuso,36,2007,144.8,29.7,51.1,24.2,39.8
Fernando Gonzalez,37,2007,144.8,28.6,51.8,22.5,41.9
Guillermo Garcia-Lopez,38,2007,144.8,31.5,48.2,23.3,41.8
Agustin Calleri,39,2007,144.4,31.4,49.8,23.2,40.0
Igor Andreev,40,2007,144.2,30.5,49.8,23.2,40.7
Stefan Koubek,41,2007,144.1,29.6,49.1,22.6,42.8
Carlos Moya,42,2007,144.0,31.4,49.0,23.6,40.0
Vincent Spadea,43,2007,143.9,29.2,51.6,23.6,39.5
Philipp Kohlschreiber,44,2007,141.9,29.8,50.9,22.6,38.6
Radek Stepanek,45,2007,141.5,29.0,48.1,22.4,42.0
Stan Wawrinka,46,2007,141.1,29.8,49.5,22.9,38.9
Luis Horna,47,2007,141.0,29.6,48.0,22.5,40.9
Olivier Rochus,48,2007,140.8,26.3,52.4,20.9,41.2
Igor Kunitsyn,49,2007,140.7,28.7,50.2,21.9,39.9
Julien Benneteau,50,2007,140.0,29.8,48.7,23.0,38.5
Nikolay Davydenko,1,2006,173.4,35.2,55.8,35.4,47.0
Lleyton Hewitt,2,2006,166.1,34.2,54.7,33.3,43.9
David Ferrer,3,2006,165.6,32.9,56.2,32.6,43.9
Andy Murray,4,2006,164.0,34.2,55.1,32.5,42.2
Roger Federer,5,2006,162.9,34.8,53.5,31.6,43.0
David Nalbandian,6,2006,161.6,33.3,53.3,31.0,44.0
Sebastien Grosjean,7,2006,160.9,32.4,52.6,29.6,46.3
Tommy Robredo,8,2006,160.1,32.0,54.2,28.4,45.5
Gaston Gaudio,9,2006,158.4,32.9,52.9,30.7,41.9
Olivier Rochus,10,2006,157.9,33.5,54.1,30.5,39.8
James Blake,11,2006,157.8,33.0,53.3,29.9,41.6
Florian Mayer,12,2006,157.8,32.6,51.3,27.8,46.1
Rafael Nadal,13,2006,157.7,32.1,54.1,29.0,42.5
Jarkko Nieminen,14,2006,156.6,31.2,50.4,26.9,48.1
Ruben Ramirez Hidalgo,15,2006,156.6,31.7,50.6,27.3,47.0
Robin Vik,16,2006,156.0,31.1,52.2,26.3,46.4
Filippo Volandri,17,2006,155.3,33.5,52.5,30.2,39.1
Gael Monfils,18,2006,154.2,33.5,48.3,26.9,45.5
Alberto Martin,19,2006,153.9,31.9,52.3,27.5,42.2
Paul Goldstein,20,2006,153.3,30.7,52.2,26.9,43.5
Jose Acasuso,21,2006,153.1,29.9,52.4,26.0,44.8
Novak Djokovic,22,2006,152.6,30.2,50.6,26.5,45.3
Jan Hernych,23,2006,152.1,33.4,49.7,26.1,42.9
Mikhail Youzhny,24,2006,152.0,32.2,50.9,25.9,43.0
Fabrice Santoro,25,2006,151.4,31.5,50.8,25.5,43.6
Gilles Simon,26,2006,150.9,31.2,51.9,26.0,41.8
Xavier Malisse,27,2006,150.6,32.5,50.1,26.6,41.4
Marcos Baghdatis,28,2006,150.2,31.1,51.7,25.1,42.3
Juan Ignacio Chela,29,2006,149.7,31.4,51.7,25.0,41.6
Vincent Spadea,30,2006,149.7,31.1,52.7,27.2,38.7
Tomas Berdych,31,2006,149.4,29.7,52.7,24.8,42.2
Richard Gasquet,32,2006,149.4,29.9,51.9,25.7,41.9
Tim Henman,33,2006,149.2,31.1,50.0,25.3,42.8
Dominik Hrbaty,34,2006,148.8,32.1,51.4,26.6,38.7
Florent Serra,35,2006,148.5,30.2,50.5,24.4,43.4
Paul-Henri Mathieu,36,2006,148.4,29.8,51.7,24.8,42.1
Juan Monaco,37,2006,148.2,31.3,51.7,27.1,38.1
Arnaud Clement,38,2006,148.1,28.5,53.5,24.2,41.9
Jonas Bjorkman,39,2006,146.7,28.5,53.5,22.8,41.9
Agustin Calleri,40,2006,145.9,30.4,51.7,24.7,39.1
Jurgen Melzer,41,2006,145.9,32.1,48.8,24.9,40.1
Tommy Haas,42,2006,145.2,30.0,50.9,24.1,40.2
Radek Stepanek,43,2006,145.1,31.3,46.9,23.4,43.5
Fernando Verdasco,44,2006,144.6,31.0,50.5,23.3,39.8
Hyung-Taik Lee,45,2006,144.4,28.9,50.2,22.2,43.1
Nicolas Massu,46,2006,143.9,30.8,47.8,22.5,42.8
Fernando Gonzalez,47,2006,143.7,30.0,50.4,23.6,39.7
Juan Carlos Ferrero,48,2006,143.3,30.9,51.5,24.6,36.3
Rainer Schuettler,49,2006,142.9,28.7,48.9,22.0,43.3
Mario Ancic,50,2006,142.8,30.7,47.5,23.2,41.4
Rafael Nadal,1,2005,176.8,36.9,56.6,37.5,45.8
Guillermo Coria,2,2005,174.8,36.3,56.4,36.5,45.6
David Nalbandian,3,2005,170.8,33.9,56.5,34.5,45.9
David Ferrer,4,2005,168.0,35.5,53.8,33.5,45.2
Nikolay Davydenko,5,2005,167.6,35.4,53.7,33.6,44.9
Gaston Gaudio,6,2005,167.1,35.0,55.3,34.6,42.2
Guillermo Canas,7,2005,166.8,37.2,51.9,32.7,45.0
Filippo Volandri,8,2005,163.4,34.7,52.3,33.6,42.8
Roger Federer,9,2005,161.9,34.7,52.3,30.7,44.2
Nicolas Kiefer,10,2005,160.7,32.5,52.8,28.4,47.0
Richard Gasquet,11,2005,159.4,31.8,52.3,28.7,46.6
Mikhail Youzhny,12,2005,159.0,31.2,52.9,29.2,45.7
Christophe Rochus,13,2005,157.4,30.9,51.8,28.3,46.4
Dominik Hrbaty,14,2005,155.2,31.7,53.7,28.5,41.3
Jarkko Nieminen,15,2005,153.9,31.6,52.9,26.5,42.9
Andre Agassi,16,2005,153.4,31.4,52.0,27.4,42.6
Lleyton Hewitt,17,2005,152.5,31.8,51.5,27.9,41.3
Dmitry Tursunov,18,2005,151.8,29.7,50.6,25.4,46.1
Gael Monfils,19,2005,151.3,32.8,49.6,25.4,43.5
Guillermo Garcia-Lopez,20,2005,150.9,31.6,50.7,26.1,42.5
Juan Ignacio Chela,21,2005,150.6,30.9,51.8,27.2,40.7
Igor Andreev,22,2005,150.5,31.9,50.2,26.0,42.4
James Blake,23,2005,150.4,31.3,51.5,26.7,40.9
Vincent Spadea,24,2005,150.0,29.0,52.6,25.2,43.2
Tommy Robredo,25,2005,149.9,32.6,52.0,28.3,37.0
Sebastien Grosjean,26,2005,149.7,31.1,50.2,24.4,44.0
Tommy Haas,27,2005,149.1,30.0,51.2,25.2,42.7
Jiri Novak,28,2005,149.1,30.7,52.2,26.7,39.5
Mariano Zabaleta,29,2005,149.0,31.9,50.5,26.7,39.9
Fernando Verdasco,30,2005,148.7,31.2,49.9,24.3,43.3
Jonas Bjorkman,31,2005,148.4,31.4,53.4,25.2,38.4
Juan Carlos Ferrero,32,2005,148.4,29.8,53.8,25.3,39.5
Paul-Henri Mathieu,33,2005,148.4,28.7,50.9,23.5,45.3
Alberto Martin,34,2005,147.7,31.8,52.5,25.0,38.4
Marat Safin,35,2005,147.1,31.3,50.8,25.4,39.6
Agustin Calleri,36,2005,146.5,31.4,49.8,22.7,42.6
Jan Hernych,37,2005,146.5,29.8,50.7,24.7,41.3
Potito Starace,38,2005,146.3,30.2,49.7,23.2,43.2
Juan Monaco,39,2005,145.7,30.1,49.4,23.8,42.4
Robby Ginepri,40,2005,145.6,28.4,51.6,25.0,40.6
Rainer Schuettler,41,2005,145.4,31.6,47.9,23.8,42.1
Olivier Rochus,42,2005,144.8,27.5,54.1,24.1,39.1
Fabrice Santoro,43,2005,144.7,31.4,53.2,25.8,34.3
Mario Ancic,44,2005,144.0,30.1,48.5,22.9,42.5
Jurgen Melzer,45,2005,143.9,30.1,47.5,23.7,42.6
Taylor Dent,46,2005,143.7,30.2,49.8,23.9,39.8
Tim Henman,47,2005,143.4,31.7,48.1,23.6,40.0
Xavier Malisse,48,2005,142.3,29.0,47.9,22.3,43.1
Tomas Zib,49,2005,142.2,25.3,52.3,20.4,44.2
Carlos Moya,50,2005,142.1,31.2,48.1,23.6,39.2
Filippo Volandri,1,2004,180.7,34.5,55.6,37.5,53.1
Juan Ignacio Chela,2,2004,167.5,35.2,52.8,32.4,47.1
Guillermo Coria,3,2004,166.5,32.8,53.9,32.8,47.0
David Nalbandian,4,2004,165.4,32.2,56.7,32.2,44.3
Flavio Saretta,5,2004,164.5,34.1,50.1,30.1,50.2
Gaston Gaudio,6,2004,162.8,33.6,53.4,31.8,44.0
Lleyton Hewitt,7,2004,161.8,34.2,53.3,31.6,42.7
Jiri Novak,8,2004,161.8,32.6,53.5,29.9,45.8
Guillermo Canas,9,2004,160.2,33.3,52.2,29.4,45.3
Nicolas Massu,10,2004,159.7,33.0,53.7,30.3,42.7
Rafael Nadal,11,2004,159.7,32.7,53.4,30.2,43.4
David Ferrer,12,2004,158.9,33.7,52.4,29.4,43.4
Roger Federer,13,2004,158.3,34.8,51.7,30.5,41.3
Sebastien Grosjean,14,2004,157.4,32.3,53.6,29.3,42.2
Olivier Rochus,15,2004,155.2,29.2,52.6,26.1,47.3
Xavier Malisse,16,2004,154.0,32.0,51.7,26.9,43.4
Felix Mantilla,17,2004,153.3,33.1,52.7,29.5,38.0
Gael Monfils,18,2004,152.2,30.1,51.9,22.2,48.0
Nikolay Davydenko,19,2004,151.8,31.9,51.6,26.9,41.4
Andre Agassi,20,2004,151.7,28.6,54.5,26.2,42.4
Gustavo Kuerten,21,2004,151.3,29.9,51.3,26.2,43.9
Tim Henman,22,2004,150.8,31.9,49.7,26.0,43.2
Dominik Hrbaty,23,2004,150.3,29.0,52.5,25.7,43.1
Vincent Spadea,24,2004,149.4,30.3,53.2,25.0,40.9
Taylor Dent,25,2004,148.5,31.4,48.8,24.8,43.5
Novak Djokovic,26,2004,148.5,38.4,46.2,29.1,34.8
Jurgen Melzer,27,2004,148.5,30.1,51.0,24.6,42.8
Stefan Koubek,28,2004,148.2,29.8,51.6,24.1,42.7
David Sanchez,29,2004,147.7,30.1,52.2,24.9,40.5
Mikhail Youzhny,30,2004,147.4,30.2,51.4,24.6,41.2
Tommy Haas,31,2004,147.1,30.4,49.4,24.1,43.2
Fabrice Santoro,32,2004,146.7,30.6,53.0,24.3,38.8
Albert Costa,33,2004,146.5,28.6,52.6,24.8,40.5
Mariano Zabaleta,34,2004,146.3,31.5,50.0,25.6,39.2
Jarkko Nieminen,35,2004,146.1,30.0,52.3,24.5,39.3
Sjeng Schalken,36,2004,145.0,29.3,50.8,24.5,40.4
Nicolas Kiefer,37,2004,144.6,30.2,50.9,24.1,39.4
Florian Mayer,38,2004,144.6,28.8,50.4,24.2,41.2
Alberto Martin,39,2004,144.5,29.5,50.3,23.3,41.4
Michael Llodra,40,2004,144.4,29.5,51.0,23.4,40.5
Karol Beck,41,2004,144.3,29.4,51.0,21.5,42.4
Carlos Moya,42,2004,143.9,30.8,50.0,24.0,39.1
Robby Ginepri,43,2004,143.3,28.4,51.3,23.4,40.2
Mario Ancic,44,2004,143.1,30.1,49.6,22.8,40.6
Tommy Robredo,45,2004,142.7,30.7,50.1,24.1,37.8
Andy Roddick,46,2004,142.6,29.3,50.4,22.5,40.4
Robin Soderling,47,2004,142.3,27.9,51.1,21.6,41.7
Igor Andreev,48,2004,142.2,30.5,47.3,22.1,42.3
Rainer Schuettler,49,2004,141.4,30.3,49.9,23.5,37.7
Sargis Sargsian,50,2004,141.3,31.1,48.7,21.9,39.6
Guillermo Coria,1,2003,180.7,40.1,53.2,38.8,48.6
Andre Agassi,2,2003,171.5,36.1,54.3,34.5,46.6
Lleyton Hewitt,3,2003,170.8,35.6,55.0,34.5,45.7
Filippo Volandri,4,2003,169.8,38.0,52.2,32.9,46.7
David Nalbandian,5,2003,168.7,34.0,55.1,32.7,46.9
Rainer Schuettler,6,2003,165.0,35.2,52.9,31.7,45.2
Jean-Rene Lisnard,7,2003,164.9,36.5,53.3,30.5,44.6
Vincent Spadea,8,2003,164.1,34.0,51.3,28.9,49.9
Nicolas Massu,9,2003,161.7,33.7,51.8,30.4,45.8
James Blake,10,2003,161.4,34.6,52.3,28.5,46.0
Flavio Saretta,11,2003,161.2,36.1,51.6,30.5,43.0
David Sanchez,12,2003,160.0,34.3,53.8,30.5,41.4
Karol Kucera,13,2003,159.3,34.2,52.0,27.8,45.3
Sjeng Schalken,14,2003,159.0,33.0,51.6,28.2,46.2
Juan Carlos Ferrero,15,2003,158.2,34.1,51.8,30.3,42.0
Gaston Gaudio,16,2003,158.2,35.3,51.1,30.3,41.5
Yevgeny Kafelnikov,17,2003,158.2,34.6,53.0,29.3,41.3
Tim Henman,18,2003,157.6,36.3,48.1,27.4,45.8
Tommy Robredo,19,2003,157.4,34.7,52.8,27.7,42.2
Roger Federer,20,2003,156.9,34.9,52.3,29.1,40.6
Olivier Mutis,21,2003,156.9,33.4,49.6,26.5,47.4
Jiri Novak,22,2003,156.7,34.6,51.5,28.1,42.5
Franco Squillari,23,2003,156.7,36.4,51.3,27.2,41.8
Felix Mantilla,24,2003,156.4,31.8,52.1,26.5,46.0
Sargis Sargsian,25,2003,156.2,34.0,51.1,28.0,43.1
David Ferrer,26,2003,155.5,33.5,51.0,25.9,45.1
Juan Ignacio Chela,27,2003,155.3,35.3,50.4,28.6,41.0
Mariano Zabaleta,28,2003,155.1,36.2,49.9,28.3,40.7
Carlos Moya,29,2003,154.5,35.8,50.8,27.0,40.9
Agustin Calleri,30,2003,154.2,32.3,52.6,27.1,42.2
Jarkko Nieminen,31,2003,153.8,33.0,52.6,27.4,40.8
Nikolay Davydenko,32,2003,152.4,33.1,52.2,27.4,39.7
Arnaud Clement,33,2003,152.2,33.9,51.9,26.9,39.5
Mikhail Youzhny,34,2003,151.0,32.3,51.0,27.7,40.0
Olivier Rochus,35,2003,150.9,31.5,50.9,25.6,42.9
Taylor Dent,36,2003,150.7,33.5,50.0,24.1,43.1
Fabrice Santoro,37,2003,150.6,34.8,49.5,27.1,39.2
Fernando Gonzalez,38,2003,150.4,33.0,48.2,23.9,45.3
Alberto Martin,39,2003,149.8,33.4,48.9,24.5,43.0
Paul-Henri Mathieu,40,2003,149.6,31.7,51.0,25.8,41.1
Dominik Hrbaty,41,2003,149.0,30.5,50.8,25.1,42.6
Stefan Koubek,42,2003,148.9,32.9,50.7,25.1,40.2
Paradorn Srichaphan,43,2003,147.7,29.4,50.5,23.1,44.7
Jonas Bjorkman,44,2003,147.6,31.5,51.3,23.3,41.5
Robby Ginepri,45,2003,147.0,28.7,51.7,25.3,41.3
Nicolas Lapentti,46,2003,146.6,33.3,49.1,22.2,42.0
Albert Costa,47,2003,146.4,36.7,48.0,22.3,39.4
Hicham Arazi,48,2003,146.1,30.4,52.1,23.8,39.8
Gustavo Kuerten,49,2003,145.6,32.4,50.0,24.0,39.2
Michel Kratochvil,50,2003,145.2,32.3,49.1,21.9,41.9
Lleyton Hewitt,1,2002,163.7,34.5,54.4,33.1,41.7
Jiri Novak,2,2002,162.9,31.8,53.3,30.9,46.9
Guillermo Coria,3,2002,162.8,33.9,54.2,31.8,42.9
Gaston Gaudio,4,2002,162.3,32.3,55.0,30.4,44.6
Rainer Schuettler,5,2002,160.6,33.5,52.5,29.0,45.6
Olivier Rochus,6,2002,160.5,30.7,55.4,28.0,46.4
Andre Agassi,7,2002,160.0,32.9,53.5,31.2,42.4
Sebastien Grosjean,8,2002,158.9,32.4,53.6,29.6,43.3
Alex Corretja,9,2002,158.5,33.9,52.6,30.6,41.4
Mikhail Youzhny,10,2002,158.0,30.7,53.6,29.1,44.6
Tim Henman,11,2002,157.8,33.3,51.0,29.8,43.7
Thomas Enqvist,12,2002,157.3,30.1,52.9,27.9,46.4
Nicolas Massu,13,2002,157.3,32.3,52.2,30.0,42.8
Andrei Pavel,14,2002,155.7,32.8,51.9,28.2,42.8
David Sanchez,15,2002,155.2,33.6,49.9,28.4,43.3
Juan Ignacio Chela,16,2002,155.0,33.1,51.2,28.0,42.7
Arnaud Clement,17,2002,154.5,30.7,53.4,28.2,42.2
David Nalbandian,18,2002,154.4,30.2,54.2,27.1,42.9
Lars Burgsmuller,19,2002,153.2,32.6,49.8,26.4,44.4
Guillermo Canas,20,2002,153.1,34.2,50.6,28.1,40.2
Franco Squillari,21,2002,152.2,33.0,49.8,27.4,42.0
Michel Kratochvil,22,2002,151.8,31.8,52.4,27.4,40.2
Alberto Martin,23,2002,151.8,32.1,52.1,26.9,40.7
James Blake,24,2002,150.8,30.6,50.7,25.6,43.9
Felix Mantilla,25,2002,150.4,29.7,52.9,26.1,41.7
Juan Carlos Ferrero,26,2002,149.8,29.7,52.7,25.9,41.5
Jose Acasuso,27,2002,149.7,31.7,50.1,25.1,42.8
Roger Federer,28,2002,149.7,31.4,49.7,25.3,43.3
Jarkko Nieminen,29,2002,149.7,30.7,51.6,26.9,40.5
Nikolay Davydenko,30,2002,149.5,28.8,51.6,25.4,43.7
Paul-Henri Mathieu,31,2002,149.5,28.7,53.3,26.4,41.1
Tommy Robredo,32,2002,149.2,31.1,50.7,26.4,41.0
Karol Kucera,33,2002,148.8,33.4,47.8,24.9,42.7
Dominik Hrbaty,34,2002,148.4,29.1,51.0,25.6,42.7
Marcelo Rios,35,2002,148.4,28.7,50.3,24.8,44.6
Fernando Gonzalez,36,2002,148.2,30.5,50.9,23.7,43.1
Fabrice Santoro,37,2002,148.2,31.5,51.4,25.6,39.7
Nicolas Escude,38,2002,148.0,30.4,51.2,24.9,41.5
Andre Sa,39,2002,147.9,30.6,51.7,26.3,39.3
Taylor Dent,40,2002,147.6,28.8,50.4,24.3,44.1
Xavier Malisse,41,2002,147.4,30.3,51.1,25.4,40.6
Nicolas Kiefer,42,2002,147.0,29.9,49.7,24.8,42.6
Agustin Calleri,43,2002,146.9,31.6,50.3,25.3,39.7
Paradorn Srichaphan,44,2002,146.4,29.0,51.0,25.7,40.7
Marat Safin,45,2002,146.0,30.4,51.2,24.9,39.5
Sjeng Schalken,46,2002,145.3,30.0,51.3,24.6,39.4
Fernando Vicente,47,2002,144.9,29.5,49.8,24.5,41.1
Carlos Moya,48,2002,144.8,31.3,50.0,25.3,38.2
Albert Costa,49,2002,144.4,31.2,48.9,24.6,39.7
Andy Roddick,50,2002,143.9,28.3,49.3,23.0,43.3
Lleyton Hewitt,1,2001,165.8,33.3,55.0,33.5,44.0
Guillermo Coria,2,2001,164.3,34.6,52.6,32.0,45.1
Tim Henman,3,2001,159.2,33.9,52.2,30.2,42.9
Albert Portas,4,2001,159.0,31.4,53.5,30.6,43.5
Guillermo Canas,5,2001,158.9,34.0,53.1,31.4,40.4
Andre Agassi,6,2001,158.8,31.6,54.6,32.1,40.5
Juan Carlos Ferrero,7,2001,158.6,32.2,55.3,31.7,39.4
Marcelo Rios,8,2001,157.9,30.7,52.9,28.5,45.8
David Sanchez,9,2001,157.3,32.3,51.9,29.5,43.6
Felix Mantilla,10,2001,157.2,28.8,52.5,26.8,49.1
Alberto Martin,11,2001,157.2,32.0,51.8,28.2,45.2
Michal Tabara,12,2001,156.9,31.9,51.4,28.6,45.0
Andrei Pavel,13,2001,156.8,29.9,53.7,28.7,44.5
Sebastien Grosjean,14,2001,156.0,31.9,53.1,29.6,41.4
Jiri Novak,15,2001,155.3,31.7,52.4,28.5,42.7
Magnus Gustafsson,16,2001,154.9,33.2,49.4,28.1,44.2
Michel Kratochvil,17,2001,154.5,29.8,52.9,26.9,44.9
Tommy Robredo,18,2001,154.1,31.3,51.5,28.0,43.3
Thomas Johansson,19,2001,153.7,27.8,52.1,26.7,47.1
Nicolas Kiefer,20,2001,153.3,30.1,51.4,27.6,44.2
Yevgeny Kafelnikov,21,2001,152.7,30.3,52.2,27.9,42.3
Mikhail Youzhny,22,2001,152.7,31.3,51.0,27.8,42.6
Fabrice Santoro,23,2001,152.4,30.1,52.1,27.0,43.2
Magnus Norman,24,2001,151.4,32.3,49.3,27.2,42.6
Sjeng Schalken,25,2001,151.4,30.8,52.4,27.2,41.0
Fernando Vicente,26,2001,151.3,30.3,51.7,25.9,43.4
Bohdan Ulihrach,27,2001,151.0,30.1,52.3,27.0,41.6
Tommy Haas,28,2001,149.3,31.2,50.7,27.0,40.4
Markus Hipfl,29,2001,149.3,28.9,52.4,26.1,41.9
Arnaud Clement,30,2001,149.1,28.5,54.0,27.1,39.5
Sargis Sargsian,31,2001,149.0,29.7,49.3,25.1,44.9
Christophe Rochus,32,2001,148.8,29.0,54.5,26.6,38.7
Nicolas Escude,33,2001,148.5,31.1,49.0,25.4,43.0
Jerome Golmard,34,2001,148.4,30.0,50.0,25.2,43.2
Rainer Schuettler,35,2001,148.1,30.6,50.1,25.9,41.5
Nicolas Lapentti,36,2001,148.0,29.9,50.7,26.1,41.3
Sergi Bruguera,37,2001,147.8,32.1,50.0,26.9,38.8
Dominik Hrbaty,38,2001,146.9,28.8,52.0,24.7,41.4
Fernando Meligeni,39,2001,146.8,32.5,49.2,25.6,39.5
Alex Corretja,40,2001,146.5,31.6,50.6,25.7,38.6
Thomas Enqvist,41,2001,146.5,29.1,54.0,26.6,36.8
Francisco Clavet,42,2001,146.3,27.8,51.6,24.4,42.5
Gustavo Kuerten,43,2001,146.2,29.0,52.3,26.2,38.7
Xavier Malisse,44,2001,146.0,32.0,49.7,25.9,38.4
Albert Costa,45,2001,145.4,30.1,51.1,26.4,37.8
Jonas Bjorkman,46,2001,145.2,29.7,52.6,25.1,37.8
Michael Chang,47,2001,144.9,30.4,51.6,26.3,36.6
Hicham Arazi,48,2001,144.8,28.7,51.8,25.1,39.2
Patrick Rafter,49,2001,144.6,28.9,49.6,23.8,42.3
Jan-Michael Gambill,50,2001,144.4,28.9,50.6,22.6,42.3
Karol Kucera,1,2000,160.9,34.2,50.6,31.5,44.6
Felix Mantilla,2,2000,160.2,31.3,50.1,29.3,49.5
Lleyton Hewitt,3,2000,159.7,31.4,52.7,30.0,45.6
Michael Chang,4,2000,158.6,31.0,53.5,28.7,45.4
Gaston Gaudio,5,2000,156.6,32.0,51.6,28.6,44.4
Sebastien Grosjean,6,2000,156.4,32.0,53.0,30.2,41.2
Andreas Vinciguerra,7,2000,156.4,30.6,52.2,28.2,45.4
Alex Corretja,8,2000,156.3,31.5,53.6,29.7,41.5
Jason Stoltenberg,9,2000,156.0,32.8,52.2,29.5,41.5
Sergi Bruguera,10,2000,155.9,30.7,53.9,28.6,42.7
Andrei Pavel,11,2000,155.6,29.4,52.4,28.1,45.7
Franco Squillari,12,2000,155.0,31.8,53.2,29.5,40.5
